N = 2^k,Numerical x(1),Error |x(1) - e|
1024,2.716955729466e+00,1.326098992609e-03
2048,2.717618482337e+00,6.633461221655e-04
4096,2.717950081190e+00,3.317472693785e-04
8192,2.718115936266e+00,1.658921932575e-04
16384,2.718198877722e+00,8.295073709608e-05
32768,2.718240351930e+00,4.147652877551e-05
65536,2.718261089905e+00,2.073855439955e-05
131072,2.718271459109e+00,1.036934980814e-05
262144,2.718276643766e+00,5.184693034010e-06
524288,2.718279236108e+00,2.592351159514e-06
1048576,2.718280532282e+00,1.296176632248e-06
