N = 2^k,Numerical x(1),Error |x(1) - e|
1024,2.718281396716e+00,4.317429058709e-07
2048,2.718281720484e+00,1.079752673938e-07
4096,2.718281801460e+00,2.699875967238e-08
8192,2.718281821709e+00,6.750314529569e-09
16384,2.718281826771e+00,1.687626483005e-09
32768,2.718281828037e+00,4.219322669030e-10
65536,2.718281828354e+00,1.054658582689e-10
131072,2.718281828433e+00,2.643085750265e-11
262144,2.718281828452e+00,6.560085807905e-12
524288,2.718281828457e+00,1.751043754439e-12
1048576,2.718281828458e+00,5.662137425588e-13
